Equipo,Jugador,Tipo de Incidencia,Estado,Detalle
Alavés,Hugo Novoa,Física / Médica,Baja,Molestias en el pubis
Alavés,Aitor Mañas,Física / Médica,Baja,Parte médico oficial pendiente
Alavés,Abqar,Física / Médica,Baja,Molestias físicas
Athletic Club,Unai Simón,Física / Médica,Baja,Operado de la muñeca
Athletic Club,Dani Vivian,Física / Médica,Baja,Lesión en el aductor
Athletic Club,Unai Egiluz,Física / Médica,Baja,Rotura de ligamento cruzado anterior
Atlético de Madrid,Pablo Barrios,Física / Médica,Baja,Lesión muscular en el sóleo
Celta de Vigo,Iago Aspas,Física / Médica,Baja,Problemas físicos confirmados
Celta de Vigo,Antañón,Física / Médica,Baja,Lesión muscular
Deportivo,Angeliño,Disciplinaria (Sanción),Baja,Tarjeta roja directa
Espanyol,Javi Puado,Física / Médica,Baja,Molestias musculares
Espanyol,Kike García,Física / Médica,Baja,Baja de larga duración hasta 2027
Espanyol,Gorosabel,Física / Médica,Baja,Problemas físicos
Espanyol,Jofre,Física / Médica,Baja,Esguince leve
Espanyol,Omar El Hilali,Disciplinaria (Sanción),Baja,Tarjeta roja directa
FC Barcelona,Dani Olmo,Física / Médica,Baja,Lesión en el bíceps femoral
FC Barcelona,Fermín López,Física / Médica,Baja,Lesión en el recto anterior
FC Barcelona,Marc Bernal,Física / Médica,Baja,Rotura de ligamento cruzado
FC Barcelona,Frenkie de Jong,Física / Médica,Baja,Lesión grave de rodilla (Baja hasta 2027)
FC Barcelona,Joan García,Física / Médica,Duda,Leves molestias en la rodilla derecha
Getafe,Uche,Física / Médica,Baja,Lesión grave (Baja para toda la temporada)
Getafe,Juanmi Jiménez,Física / Médica,Baja,Dolencias musculares
Getafe,Kiko Femenía,Física / Médica,Baja,Sobrecarga
Osasuna,Valentín Rosier,Física / Médica,Baja,Problemas musculares
Osasuna,Aimar Oroz,Física / Médica,Baja,Molestias en el muslo
Osasuna,Herrando,Física / Médica,Baja,Esguince de tobillo
Osasuna,Moi Gómez,Física / Médica,Baja,Lesión fibrilar
Real Betis,Aitor Ruibal,Física / Médica,Baja,Lesión muscular en el aductor
Real Madrid,Eduardo Camavinga,Física / Médica,Baja,Esguince de rodilla
Real Madrid,Dani Ceballos,Física / Médica,Baja,Esguince de tobillo
Real Madrid,Éder Militão,Física / Médica,Baja,Proceso de recuperación muscular
Real Madrid,Rodrygo Goes,Física / Médica,Baja,Trabajo específico en el gimnasio
Real Madrid,Ferland Mendy,Física / Médica,Baja,Molestias musculares
Real Sociedad,Hamari Traoré,Física / Médica,Baja,Rotura de ligamento cruzado
Real Sociedad,Odriozola,Física / Médica,Baja,Problemas físicos
Sevilla FC,Lucas Stassin,Física / Médica,Baja,Lesión miofascial en el aductor largo
Sevilla FC,Kike Salas,Física / Médica,Baja,Contusión (Trabajo específico)
Sevilla FC,Rubén Vargas,Física / Médica,Baja,Esguince de tobillo
Sevilla FC,Sangante,Física / Médica,Baja,Molestias en la rodilla
Girona,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Las Palmas,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Leganés,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Mallorca,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Rayo Vallecano,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Valencia,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Valladolid,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
Villarreal,Sin bajas reportadas,Ninguna,Disponible,Plantilla limpia
